排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
338,光学光电子,BK1038,1977.98,-2.71,-0.14,1294568304000,2.38,32,63,福晶科技,10.0
339,机床工具,BK1395,1764.68,-2.52,-0.14,131002424000,1.32,8,10,宇环数控,1.66
340,房地产开发,BK0451,14668.46,-21.17,-0.14,1025896224000,1.07,37,47,新城控股,3.33
341,其他自动化设备,BK1410,6439.55,-9.64,-0.15,255526570000,1.76,10,16,田中精机,7.55
342,锂电池,BK1303,18863.5,-30.03,-0.16,2518499888000,4.63,11,21,科达利,10.0
343,模拟芯片设计,BK1330,5561.85,-8.97,-0.16,498182880000,1.62,13,22,臻镭科技,6.04
344,高速公路,BK1483,2747.0,-4.53,-0.16,385246752000,0.56,8,10,福建高速,3.24
345,冶钢辅料,BK1372,6185.06,-10.24,-0.17,119586885000,0.91,1,3,鄂尔多斯,1.35
346,钢结构,BK1474,3236.39,-5.39,-0.17,72787546000,1.55,5,5,日上集团,1.31
347,其他化学制品,BK1428,4338.86,-7.31,-0.17,490147296000,3.06,35,42,山东赫达,9.99
348,冰洗,BK1449,2074.16,-3.71,-0.18,247460380000,0.9,5,4,澳柯玛,1.88
349,医疗耗材,BK1604,4622.73,-8.51,-0.18,464597520000,1.61,27,26,英科医疗,6.51
350,面板,BK1335,3023.36,-5.78,-0.19,691060560000,1.99,14,27,翰博高新,8.89
351,清洁小家电,BK1459,2326.52,-4.77,-0.2,114730600000,0.86,3,4,富佳股份,0.64
352,农用机械,BK1404,1835.34,-3.82,-0.21,49081213000,1.15,4,6,天鹅股份,1.71
353,底盘与发动机系统,BK1526,4692.6,-9.83,-0.21,1187920240000,1.95,52,56,奥联电子,6.65
354,教育,BK0740,661.9,-1.4,-0.21,89003084000,1.31,7,8,行动教育,2.25
355,彩电,BK1453,4310.57,-9.29,-0.22,113822682000,1.08,1,2,*ST高斯,1.04
356,证券Ⅲ,BK1366,138209.16,-298.06,-0.22,3408336336000,0.56,18,30,华林证券,2.14
357,证券Ⅱ,BK0473,138209.16,-298.06,-0.22,3408336336000,0.56,18,30,华林证券,2.14
358,贸易Ⅲ,BK1550,11548.2,-25.05,-0.22,163615227000,1.82,6,10,厦门信达,1.89
359,贸易Ⅱ,BK0484,11548.2,-25.05,-0.22,163615227000,1.82,6,10,厦门信达,1.89
360,厨卫电器,BK1240,6752.21,-15.04,-0.22,61934145000,2.78,4,5,华帝股份,5.68
361,玻璃制造,BK1461,2164.23,-4.85,-0.22,68474123000,1.54,3,5,旗滨集团,1.04
362,汽车经销商,BK1523,1555.27,-3.55,-0.23,23028860000,0.83,3,2,北巴传媒,1.72
363,厨房小家电,BK1457,2279.29,-5.29,-0.23,81621324000,1.04,4,7,新宝股份,1.75
364,零食,BK1583,1909.96,-4.44,-0.23,101212513000,1.36,9,2,黑芝麻,1.52
365,改性塑料,BK1437,6332.05,-15.02,-0.24,153177720000,1.73,12,10,美联新材,1.39
366,电信运营商,BK1587,965.14,-2.29,-0.24,2684154624000,0.25,1,2,中国移动,0.09
367,自动化设备,BK1237,9912.53,-25.41,-0.26,1134113184000,1.46,33,53,田中精机,7.55
368,社会服务,BK1214,4538.56,-12.06,-0.27,549542592000,1.51,32,54,力盛体育,8.08
369,能源及重型设备,BK1403,2503.29,-6.72,-0.27,585335312000,1.31,27,32,神开股份,2.73
370,住宅开发,BK1346,1999.86,-5.48,-0.27,621113600000,1.2,23,37,中国武夷,3.13
371,橡胶,BK1018,1651.96,-4.78,-0.29,132444952000,2.19,10,13,利通科技,6.02
372,楼宇设备,BK1402,2507.07,-7.63,-0.3,100979819000,1.52,7,9,华菱精工,7.78
373,LED,BK1333,8293.02,-25.3,-0.3,279650000000,4.32,8,21,晨丰科技,7.08
374,石油石化,BK0464,7580.5,-24.21,-0.32,5977970688000,0.68,21,28,统一股份,5.49
375,瓷砖地板,BK1538,1367.36,-4.38,-0.32,75697297000,1.15,5,7,海象新材,3.45
376,消费电子零部件及组装,BK1338,12330.04,-40.14,-0.32,2624841440000,1.44,28,57,传艺科技,7.07
377,培训教育,BK1557,4680.99,-15.4,-0.33,54790859000,1.42,4,6,行动教育,2.25
378,消费电子,BK1037,1910.49,-6.35,-0.33,2906641248000,1.43,34,62,传艺科技,7.07
379,涂料油墨,BK1430,3415.67,-11.41,-0.33,69584148000,1.61,6,10,飞鹿股份,1.45
380,航空运输,BK1479,1516.47,-5.07,-0.33,551966176000,0.67,2,7,中国东航,0.46
381,镍,BK1622,7074.84,-23.7,-0.33,113234631000,2.74,0,1,华友钴业,-0.35
382,氯碱,BK1418,2431.0,-8.26,-0.34,184789366000,2.01,6,8,中泰化学,2.1
383,钾肥,BK1434,2909.89,-9.89,-0.34,419779632000,1.5,2,2,东方铁塔,0.8
384,仓储物流,BK1486,4613.18,-15.95,-0.34,38075139000,0.92,3,2,音飞储存,0.8
385,产业地产,BK1344,2526.57,-8.76,-0.35,171099024000,0.87,6,7,上海临港,0.9
386,成品家居,BK1537,2659.42,-9.41,-0.35,121654831000,1.55,8,8,*ST亚振,3.47
387,煤炭,BK0437,13970.45,-49.53,-0.35,2306614176000,1.75,15,18,电投能源,5.02
